Race - Ethnicity,Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Alcohol,Paroled w/Immediate Discharge,5JD,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Burglary,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,B Felony,Sex,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Drug Possession,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Burglary,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Sex,Released to Special Sentence,5JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Traffic,Parole Granted,6JD,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Murder/Manslaughter,Parole Granted,N/A,No
Black - Non-Hispanic,2013,M,49.5,C Felony,Robbery,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Arson,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,8JD,No
Black - Non-Hispanic,2013,F,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Traffic,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Sex,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Trafficking,Parole Granted,6JD,No
White - Non-Hispanic,2013,F,49.5,D Felony,Other Drug,Parole Granted,8JD,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,F,49.5,C Felony,Trafficking,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Vandalism,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Drug Possession,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,F,49.5,C Felony,Theft,Parole Granted,1JD,No
Black - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Drug Possession,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,5JD,No
White - Hispanic,2013,F,49.5,D Felony,Trafficking,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,B Felony,Other Criminal,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,1JD,No
White - Hispanic,2013,M,49.5,Aggravated Misdemeanor,Other Criminal,Discharged - Expiration of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2013,M,49.5,D Felony,Burglary,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,F,49.5,D Felony,OWI,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Theft,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Theft,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Trafficking,Paroled w/Immediate Discharge,6JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,OWI,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,49.5,D Felony,Drug Possession,Parole Granted,1JD,No
Black - Non-Hispanic,2013,M,49.5,D Felony,Theft,Parole Granted,5JD,No
White - Non-Hispanic,2013,F,49.5,B Felony,Assault,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,OWI,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Theft,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Sex,Released to Special Sentence,8JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,B Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Burglary,Parole Granted,4JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,F,49.5,Aggravated Misdemeanor,Assault,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,OWI,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,C Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Burglary,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Parole Granted,1JD,No
White - Hispanic,2013,M,49.5,D Felony,Sex,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,OWI,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,49.5,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,F,49.5,B Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,F,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Theft,Parole Granted,N/A,No
White - Non-Hispanic,2013,F,49.5,B Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,C Felony,Robbery,Parole Granted,4JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,OWI,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Alcohol,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,F,49.5,C Felony,Theft,Parole Granted,5JD,No
White - Non-Hispanic,2013,F,49.5,D Felony,Forgery/Fraud,Discharged - Expiration of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2013,F,49.5,B Felony,Murder/Manslaughter,Parole Granted,3JD,No
Black - Non-Hispanic,2013,M,49.5,B Felony,Sex,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Drug Possession,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Theft,Discharged - Expiration of Sentence,N/A,No
White - Hispanic,2013,M,49.5,C Felony,Trafficking,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Murder/Manslaughter,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Traffic,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Drug Possession,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Vandalism,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Forgery/Fraud,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,Aggravated Misdemeanor,Other Criminal,Released to Special Sentence,5JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,OWI,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,49.5,D Felony,Assault,Parole Granted,5JD,No
White - Non-Hispanic,2013,F,49.5,Aggravated Misdemeanor,Theft,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,49.5,D Felony,Burglary,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Traffic,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,8JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,OWI,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Forgery/Fraud,Parole Granted,8JD,No
White - Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,6JD,No
Black - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Parole Granted,1JD,No
White - Non-Hispanic,2013,F,66.87,C Felony,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Assault,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Arson,Parole Granted,7JD,No
Black - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Parole Granted,8JD,No
White - Non-Hispanic,2013,F,66.87,C Felony,Trafficking,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Discharged - Expiration of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2013,M,66.87,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Assault,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Assault,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Theft,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Burglary,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Drug Possession,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,Serious Misdemeanor,Traffic,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Other Criminal,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Assault,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Arson,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Robbery,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Arson,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,6JD,No
White - Non-Hispanic,2013,F,66.87,C Felony,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Forgery/Fraud,Parole Granted,5JD,No
Black - Non-Hispanic,2013,F,66.87,D Felony,Forgery/Fraud,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Weapons,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,66.87,Serious Misdemeanor,Alcohol,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,1JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Burglary,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Murder/Manslaughter,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Drug Possession,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Parole Granted,8JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Parole Granted,8JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Assault,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Parole Granted,4JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,OWI,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,8JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Assault,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Sex,Released to Special Sentence,7JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Parole Granted,7JD,No
Black - Non-Hispanic,2013,F,66.87,D Felony,Assault,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Sex,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,F,66.87,Serious Misdemeanor,OWI,Paroled w/Immediate Discharge,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,6JD,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Traffic,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Sex,Released to Special Sentence,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Weapons,Parole Granted,8JD,No
White - Non-Hispanic,2013,F,66.87,Aggravated Misdemeanor,Alcohol,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Paroled w/Immediate Discharge,N/A,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Other Public Order,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Violent,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Drug Possession,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,7JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Burglary,Parole Granted,1JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Forgery/Fraud,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,5JD,No
American Indian or Alaska Native - Non-Hispanic,2013,M,66.87,C Felony,Robbery,Discharged - Expiration of Sentence,N/A,No
White - Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Forgery/Fraud,Parole Granted,4JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Released to Special Sentence,3JD,No
White - Non-Hispanic,2013,F,66.87,B Felony,Sex,Parole Granted,N/A,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Robbery,Parole Granted,4JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Burglary,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Burglary,Parole Granted,2JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,OWI,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Drug Possession,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Traffic,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Sex,Released to Special Sentence,6JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Robbery,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Theft,Parole Granted,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Drug Possession,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Sex,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Theft,Paroled w/Immediate Discharge,5JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Sex,Released to Special Sentence,5JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Robbery,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Drug Possession,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Assault,Parole Granted,3JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Murder/Manslaughter,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Sex,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Sex,Released to Special Sentence,6JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Trafficking,Parole Granted,5JD,No
American Indian or Alaska Native - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,5JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Assault,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Trafficking,Parole Granted,5JD,No
Black - Non-Hispanic,2013,M,66.87,C Felony,Assault,Discharged - Expiration of Sentence,N/A,No
Black - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Released to Special Sentence,7JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Alcohol,Paroled w/Immediate Discharge,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Criminal,Parole Granted,2JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Discharged - Expiration of Sentence,N/A,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Trafficking,Parole Granted,1JD,No
Black - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,B Felony,Other Criminal,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,D Felony,OWI,Parole Granted,6JD,No
White - Non-Hispanic,2013,F,66.87,D Felony,OWI,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Released to Special Sentence,5JD,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Parole Granted,1JD,No
White - Non-Hispanic,2013,M,66.87,Felony - Enhancement to Original Penalty,Other Criminal,Discharged - Expiration of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2013,M,66.87,C Felony,Assault,Parole Granted,6JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Trafficking,Parole Granted,N/A,No
White - Non-Hispanic,2013,M,66.87,C Felony,Sex,Released to Special Sentence,2JD,No
White - Non-Hispanic,2013,M,66.87,D Felony,Other Public Order,Released to Special Sentence,1JD,No
White - Non-Hispanic,2013,M,66.87,Aggravated Misdemeanor,Sex,Parole Granted,1JD,No
